# Graph Type: undirected
ELOA2	CEP70
ZSCAN9	ZNF446
TSC22D3	HPCAL4
TFPT	RUNDC3A
PRC1	CCDC85B
PHLDA1	MDFI
GLUL	NUDT18
CDCA3	CTDSP1
NECAB2	CCDC33
OTX1	CHIC2
CCDC85B	PIDD1
CBX5	ELOA2
HNRNPC	LMO3
CCDC85B	FNDC11
HGS	TADA2A
RAB33A	RTN4
MATK	EWSR1
BRME1	AIMP2
OTX1	RBPMS
FXR2	DPPA2
TRIM37	PBK
STAT5A	PRTFDC1
CATSPER1	CHIC2
NDC80	CALCOCO1
IFFO1	ACAP1
NUDT18	CUTC
FXR2	NECAB2
STX11	STX11
VPS72	MDFI
TRIP13	ARL11
CEP63	KXD1
PLK4	PLK4
ZNRD2	FXR2
EWSR1	SUV39H2
HPRT1	PRTFDC1
ENOX2	ENOX1
LMO3	MBIP
TTR	ATF4
TRIM29	JAKMIP2
SEPTIN1	SEPTIN1
PLSCR1	C10orf62
WDR62	MAPK9
PLOD3	DPPA2
TADA2A	TADA3
S100A2	S100A2
AP2B1	AP1M2
SNAP23	STX11
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
EPS8	BAIAP2
GNMT	GNMT
DDIT3	BATF
FANCG	FANCA
MCM6	MCM10
MAGOHB	RBM8A
CCND3	MCM10
ZBTB48	ZBTB8A
LMO3	ZBTB8A
MCM10	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
PLAU	SERPINE2
BAX	PMAIP1
BCL2	BID
BCL2	PMAIP1
BID	BCL2L1
BCL2L1	PMAIP1
BID	BCL2L2
MCL1	BMF
BID	MCL1
BCL2A1	BMF
PMAIP1	BCL2A1
MCL1	PMAIP1
MYC	DNMT3A
BCL2	ITPR1
SPC24	MIS12
MIS12	SPC25
KNL1	MIS12
MIS12	DSN1
NDC80	MIS12
NUF2	MIS12
ACAN	LUM
NSL1	DSN1
KNL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
STAT3	EPHA5
SYT1	C6orf15
MMP14	LUM
A1BG	CRISP3
CUL1	FBXO4
LIG4	PNKP
PSTPIP1	FDFT1
MAGEB2	USP7
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
ALDH16A1	PAAF1
PSTPIP1	RPL3
CD2BP2	DDX23
KHK	AP2S1
PSTPIP1	ATIC
KRT85	CDC20
STK16	CNTF
DOK2	PSMD10
ARRB2	NOLC1
PPM1B	RASGRP1
YWHAG	OSBPL3
EIF2D	RAD51
DKK1	CORO1A
RAD51	CAB39
ARRB1	KHK
EIF4EBP1	UBAC1
TNFAIP8	PTP4A2
RNPS1	NRDE2
ARRB2	TCOF1
PAK4	LRRK1
SKP1	FBXO4
ARRB2	DDX27
AKTIP	HOOK1
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
KRT31	DNPEP
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
PMVK	CENPH
RAB11A	RAB11FIP1
KRT85	TWF2
KRT31	TWF2
CNTF	ICA1
RPRM	FBXW11
EPPK1	ARF6
YWHAG	MARK2
CDC20	KRT31
ZNRD2	DOK2
SNRPB	KHK
MAGEB2	RPL23A
NUP93	PHLDA3
KRT85	LYAR
SNCG	HNF4A
YWHAB	KIF23
KPNA3	ARRB2
EPPK1	GSTK1
PFAS	TRAF6
STK16	PASK
CDC25B	KRT31
EPPK1	TSC22D1
FABP4	OSTF1
PTP4A3	NCAPG
CD2BP2	USP39
GIPC1	GEMIN4
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
GH1	LTA4H
MAGEB2	RPS19
KPNA4	ARRB2
PSTPIP1	RPL32
SGK1	LTF
TGFB1I1	CCNA1
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
PSTPIP1	BZW1
DOK2	RAB10
RAD51	TIMM13
PSTPIP1	RUVBL1
CNTF	EXT1
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
BRIX1	LYAR
S100A9	TAGLN
PFAS	VHL
BCAS1	DYNLL1
KRT31	STK38L
YWHAG	SHCBP1
MEN1	RPRM
PSTPIP1	RPL31
ZNRD2	RUVBL2
LRRK1	RIMS1
MAGEB2	RPS14
GIPC1	NUP93
MAGEB2	RPS16
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
TUSC2	EBLN2
ARRB2	BOP1
KRT31	LYAR
HNF1A	PCBD2
DOK2	ASF1B
STK16	HNF4A
SNCG	FABP4
LCN1	KHK
DEDD	KHK
KHK	LYZ
RPA3	PARP3
KRT31	PLEKHB2
ILK	FANCI
GSN	CASP4
PSTPIP1	BZW2
CDC20	KRT32
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
EBLN2	CAB39
CNTF	VHL
YWHAQ	MARK2
CDC20	CCDC59
FANCC	EBLN2
SNCG	TIMP2
TUSC2	SGO2
BIRC5	USF2
ARRB2	ARRB1
ATG12	ATG10
CASP4	DNAAF5
COPG2	MAGED1
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
KRT31	BAK1
HTR1B	GSTK1
MTHFD2	PARP3
PTP4A3	POLD1
YWHAG	KRT31
DGKE	NUDC
PFAS	TFE3
KCNIP4	KCNIP2
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AURKA	RAB10
AP1S1	EBLN2
ELF3	KRT31
PTP4A3	SMC2
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
PSMC3	HTR1E
SNCG	DYNLL1
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
E2F7	RUVBL1
SNAI1	ODAD4
S100A9	USF2
CASP4	NUP93
NUP93	PNKP
CD2BP2	RAD54B
NUAK1	KRT77
DGKE	SET
MAD2L1	DSTYK
ARRB2	MRPL44
PAICS	DGKE
MAGEB2	RPL34
CCNA1	VPS18
PSTPIP1	RPL36
RASGRP1	VHL
KHK	RNPS1
CD2BP2	KHK
PTP4A3	MSH2
CNBP	BRIX1
CDC20	YARS2
PSTPIP1	RPL35
YWHAQ	RASGRP3
HTR1E	PSMC4
PSTPIP1	RPL29
KHK	CDK5RAP3
LYZ	LRRK1
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
CNTF	EIF3E
NUP93	NEK6
DGKE	NUF2
AURKA	CDKN2A
TSC22D1	NUP93
YWHAQ	KIF23
CASP4	SMC1A
MAGEB2	RPS9
NUAK1	S100A9
YWHAG	KLC3
CIAO1	MCM5
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RALGPS2
MAGEB2	LXN
PES1	ARRB2
KIF4A	DNPEP
SIRT2	KRT78
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
ELL	SIRT2
HNF4A	PABPC4
PSTPIP1	RPL34
CEP162	LXN
ATG12	ATG16L1
H3C7	ASF1B
CDK2	CASP4
FBL	PASK
PSTPIP1	RPL37A
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
LXN	THRAP3
NUP98	PARP11
YWHAG	BAIAP2
NUDT1	MRM3
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
MCC	CCNA1
CDK4	GEMIN4
S100A9	ILK
RUNX3	PHB2
ATP2A3	WRAP73
CDK2	CDK15
SMC2	CASP4
FANCI	GSTK1
PSMB1	PASK
VHL	KNTC1
ARRB2	RAB5C
MAGEB2	RPL28
AURKA	SOD2
WDR5	PASK
CFLAR	DOK2
NEK6	FANCI
FANCI	MAGED1
MATR3	GSTK1
YWHAG	KIF23
CASP4	MSH6
PSPH	PRPSAP1
EIF2S3	CASP4
ZNRD2	PRMT1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KHK	RANBP3
SNCG	MCM3
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
SNCG	FUBP1
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
AURKA	UBE2L3
FES	PSMD13
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
TERT	NCL
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
MARK2	MAP3K3
RELA	IQGAP2
TNFRSF1A	FANCD2
TNFRSF1B	FANCD2
TNF	TNFRSF1B
POLQ	AP2S1
GEMIN4	BRF2
BRF2	FANCI
NUP93	BRF2
UFL1	CASP4
CASP4	VDAC3
KRT31	DLG3
KRT85	DLG3
S100A3	DLG3
SNCG	EXT2
CNTF	EXT2
CLEC2L	EXT2
FABP4	EXT2
FIBP	CLEC2L
GH1	STRAP
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	NUP93
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
PSTPIP1	DDX21
FANCC	FANCE
BRCA1	BRIP1
BRCA1	MAP3K3
BRCA2	HMG20B
BRCA1	KPNA2
BRCA2	EMSY
BRCA1	BRCA2
NCOA6	ESR2
RARA	NCOA6
ATM	FANCD2
BRCA1	SMARCA4
BRCA1	SMARCA2
BRCA1	ATR
H2AX	BARD1
H2AX	BRCA1
UBE2D1	BARD1
BRCA1	UBE2D1
RELA	BARD1
MSH2	BARD1
BCL2	BAX
BCL2	SERPINB8
FES	BCR
BRCA1	CSNK2B
BRCA1	USF2
BAX	BCL2L1
BRCA1	NMI
MYC	BRCA1
MYC	NMI
BLM	FANCD2
H2AX	RAD51
BRCA1	BRCA1
KIF1B	BRCA1
MSH3	BRCA1
BRCA1	NCOA2
BRCA1	NCOA3
MAP4K4	BRCA1
BRCA1	NUP153
BRCA1	RBBP8
BRCA1	DNAJA3
POLR2A	BRCA1
BRCA1	CDK8
BRCA1	MED21
TUBG1	BRCA1
BRCA1	FHL2
ELK4	BRCA1
JUNB	BRCA1
JUND	BRCA1
JUN	BRCA1
BRCA1	CREBBP
BRCA1	EP300
RB1	BRCA1
BRCA1	RAD51
TP53	BRCA1
BRCA1	BLM
MRE11	BLM
MSH2	BLM
BRCA1	MRE11
NBN	MRE11
NBN	BRCA1
BRCA1	RAD50
MRE11	RAD50
FANCG	BRCA2
BRCA1	CDK16
BUB1	HDAC1
BUB1B	HDAC1
CDC20	HDAC1
CDH1	HDAC1
CDC20	HDAC2
CDH1	HDAC2
FANCA	FANCF
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
ABL1	BRCA1
CBL	ZAP70
FANCG	CDK1
CHEK1	MSH2
CHEK2	MSH2
CHEK1	CDC25A
CHEK1	CSNK2A1
ESR1	BRCA1
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
CDK1	GADD45A
BRCA1	CLSPN
BRCA2	SEM1
BCL3	NFKB2
BCL3	RELB
BRCA2	BARD1
BARD1	BABAM2
BRCC3	BARD1
BRCA1	BABAM2
BRCA1	BRCC3
BRCA2	BABAM2
BRCC3	BRCA2
RAD51	BARD1
RAD51	BABAM2
BRCC3	RAD51
RBM39	ESR2
EWSR1	BARD1
CDH1	VCL
BRCA2	FANCD2
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	FASLG
TNFRSF1A	CASP8
CDH1	ITGAE
TFAP2A	APC
CHEK2	BRCA1
CDC20	MAD2L1
BRCA1	CSTF1
CSTF2	BARD1
CSTF2	BRCA1
CDC20	MAD2L2
CDH1	CTNNA1
CDH1	JUP
BRCA1	MED17
BRCA1	CSNK2A1
TP53	BARD1
TP53	RAD51
TP53	BRCA2
KIF4A	HMG20B
RBL1	BRCA1
BRCA1	RBL2
CDH1	CSE1L
BRCA2	BCCIP
BRCA2	KAT2B
E2F1	NCOA6
SP1	BRCA1
MDC1	HDAC8
BRCA2	SMAD2
BRCA2	SMAD3
NBN	FANCD2
MYC	MAPK3
MYC	MAPK1
BRCA1	UBE2L3
CCNT1	NUFIP1
CDK9	NUFIP1
CDC25A	MAPK14
LCK	PIK3R1
MARK3	RASGRF1
MYC	BCL2
BRCA2	PLK1
RAD52	RAD51
BUB1B	BRCA2
CHEK1	SFN
CHEK1	CDKN1A
CHEK1	TP53
BRCA1	RBBP7
BRCA1	APLP2
BRCA1	PEG3
BRCA1	RPL31
BRCA1	NELFB
BLM	RAD51
VDAC1	BAX
CDH1	GNA13
SFN	KIF23
SFN	MARK2
SFN	OSBPL3
SFN	PKP2
PPP1R3D	SFN
SFN	RALGPS2
SFN	SHCBP1
WEE1	SFN
CHEK1	BLM
CHEK1	TP53BP1
FANCA	FANCC
RAD51	RAD51
RAD51B	RAD51
RAD51C	RAD51
RAD51D	RAD51
XRCC2	RAD51
XRCC3	RAD51
FLNA	BRCA2
CHEK1	XIAP
MEN1	FANCD2
BCL3	N4BP2
AXIN1	APC
CDH1	CDH1
BRCA1	RELA
UBE2D2	BARD1
BRCA1	ATM
BRCA1	PRKDC
BRCA2	ATR
CHEK1	ATM
CHEK1	ATR
CHEK1	PRKDC
ATM	EIF4EBP1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
MRE11	ATM
MRE11	ATR
MRE11	PRKDC
POLD1	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
BMPR1B	BMPR2
BMP7	BMPR2
MACROH2A1	BRCA1
AKT1	BRCA1
CDK2	BRCA1
BRCA2	ATM
ABL1	RAD51
BRCA1	UBE3A
YWHAB	RASGRF1
ETV6	ACTA1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
MSH2	ATM
RAD51	ATM
FANCA	ATP5F1B
BARD1	BARD1
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
CCNA2	BRCA1
BRCA1	FANCD2
BRCA1	LMO4
TCERG1	FANCA
FANCA	CDK1
CDK1	FANCC
HRAS	RASGRF1
CDC27	CDC20
GADD45G	CDKN1A
GADD45G	GADD45A
BRCA1	CTBP1
POLR2A	CTDP1
SIAH2	RBBP8
FANCA	DAXX
TP53BP1	DCLRE1A
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
GADD45G	ESR1
ETS1	BRCA1
FANCA	FANCA
FANCA	SPTA1
FANCA	ERCC4
BRCA2	FANCE
FANCA	FANCE
FANCD2	FANCE
BRCA1	FLI1
