# Graph Type: undirected
HNRNPC	LMO3
HGS	TADA2A
RAB33A	RTN4
TPM3	TFPT
RBPMS	ENKD1
PDE9A	PDE9A
STAT5A	PRTFDC1
HOOK2	UTP14A
RALYL	RBM41
FBP1	LNX1
FAM107A	NINL
TRIM9	BTRC
APPBP2	SYT11
NUDT18	CUTC
BEGAIN	ENKD1
DTNB	PPFIBP2
FXR2	NECAB2
NOL3	ETNK2
TRIP13	PLK3
CEP63	KXD1
KCTD4	KCTD4
HPRT1	PRTFDC1
ENOX2	ENOX1
LMO3	MBIP
TTR	ATF4
FAM107A	CALCOCO2
TRIM29	JAKMIP2
PLSCR1	C10orf62
WDR62	MAPK9
SNAPC5	NOL4
PRKCZ	PARD6A
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
E2F6	TFDP2
EPS8	BAIAP2
S100B	S100A1
FANCG	FANCA
S100A1	S100A4
LMO3	ZBTB8A
LNX1	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
FGF2	SDC1
FGF2	SDC2
FGF2	SDC4
BCL2	BID
BID	BCL2L1
BID	BCL2L2
BID	MCL1
BCL2	ITPR1
CCK	CCKBR
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
RET	STAT3
STAT3	EPHA5
MTOR	RPTOR
FKBP1A	RPTOR
SYT1	SV2B
SYT1	SV2C
GIPC1	MYO6
CUL1	FBXO4
RGS20	NSF
LIG4	PNKP
TUSC2	HSPA4L
LGALS9	CTNNB1
VARS1	EEF1A2
ALDH16A1	PAAF1
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
EEF1D	EEF1A2
ARPC2	ACTR3B
WDCP	RUVBL1
SMYD2	EPB41L3
ARPC1A	ACTR3B
YWHAG	EPB41L3
ARRB2	NOLC1
PPM1B	RASGRP1
YWHAG	OSBPL3
DKK1	CORO1A
NELFCD	CCAR2
ARRB1	KHK
WDCP	RUVBL2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
YWHAB	EPB41L3
ACTR2	ACTR3B
SKP1	FBXO4
ARRB2	DDX27
CAMK2B	CAMK2A
CAMK2D	CAMK2A
AKTIP	HOOK1
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
AP3B1	ARRB2
CCNA1	CCAR2
YWHAG	RABGEF1
KRT85	TWF2
FNTB	PTP4A2
RPRM	FBXW11
GLRX3	RGS20
YWHAG	MARK2
ARPC4	ACTR3B
SNRPB	KHK
ARPC1B	ACTR3B
YWHAZ	EPB41L3
KRT85	LYAR
KPNA3	ARRB2
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
HSPA4L	KRT8
PTP4A3	FANCI
CDK4	RPRM
GH1	LTA4H
KPNA4	ARRB2
YWHAQ	EPB41L3
TGFB1I1	CCNA1
LGALS9	JUP
CCAR2	NEK6
HSPA4L	TCEAL1
RGS20	PMVK
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
MYH7	NTHL1
PFAS	VHL
BCAS1	DYNLL1
BAG2	MLF2
SPTLC1	RGS20
MEN1	RPRM
DEGS1	PYGM
LGALS9	SLC1A5
STK16	EBLN2
CTNNBIP1	PNMA2
TUSC2	EBLN2
YWHAQ	UNC79
ARRB2	BOP1
HNF1A	PCBD2
TPM3	MCC
CDK4	ACTR3B
DFFA	DFFB
DEDD	KHK
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
ILK	FANCI
RAD51D	RADIL
YWHAQ	RAI14
CHMP5	CAMK2A
FBLN1	MPG
ARPC5L	ACTR3B
ICA1	MKKS
CIAO1	CCAR2
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
YWHAQ	MARK2
FANCC	EBLN2
SNCG	TIMP2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
COPG2	MAGED1
PES1	ARRB1
ATIC	RADIL
MTHFD2	PARP3
DGKE	NUDC
RGS20	BOLA1
FSCN1	GNAS
PFAS	TFE3
KCNIP4	KCNIP2
H2BC21	PARP3
AP1S1	EBLN2
ARPC3	ACTR3B
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
PSMC3	HTR1E
SNCG	DYNLL1
ARPC5	ACTR3B
RGS20	MLF2
BCAR3	TARS1
UNC79	SAE1
VHL	FSCN1
NUAK1	KRT77
DGKE	SET
FAM107A	PPP2R2A
CCAR2	WRAP73
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
CCNA1	VPS18
TWF2	ACTR3B
RASGRP1	VHL
CCNH	RADIL
MYO1D	ILK
KHK	RNPS1
CD2BP2	KHK
PTP4A3	MSH2
RGS20	SLC39A7
YWHAQ	RASGRP3
CDK2	RADIL
HTR1E	PSMC4
KHK	CDK5RAP3
RPA3	PAK5
MOB3B	CNKSR2
TIMM50	PELO
ARRB2	MRPL43
FBL	ARRB2
CCAR2	GSTK1
HSPA4L	USF2
PELO	FANCI
YWHAZ	RAI14
CCAR2	MAGED1
AP2S1	PAK5
PES1	ARRB2
EBLN2	WRAP73
CCAR2	ACTR3B
ATG12	ATG16L1
FBL	PASK
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
TIMM50	MAGED1
YWHAG	BAIAP2
CCDC59	PAK5
YWHAQ	PAK6
MCC	CCNA1
BCAR3	PABPC1
ITFG2	KPTN
CDK2	CDK15
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
WDR5	PASK
RGS20	TXLNA
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
MATR3	GSTK1
NTHL1	MRM3
PSPH	PRPSAP1
BCAR3	IMPDH2
TSPAN7	KPTN
BCAR3	IARS1
KRT82	LYAR
RGS20	RUVBL2
PSPH	STYXL1
RGS20	TRMT112
RGS20	FAF2
RGS20	SET
SNRPA1	HNF1A
PSPH	ASF1B
KPTN	AUP1
KHK	RANBP3
SNCG	MCM3
CORO1A	UBE2G2
JPH3	STK24
PFAS	EPB41
SNCG	FUBP1
TTC4	OBI1
HNF1A	RHPN2
YWHAB	RABGEF1
CRB1	PSMD13
PTP4A3	GTF2I
PRKD1	HDAC5
MARK2	MAP3K3
USP2	NFKB2
TBKBP1	TBK1
TNF	TNFRSF1B
POLQ	AP2S1
BRF2	FANCI
DLG3	CAMK2A
KRT85	DLG3
S100A3	DLG3
SNCG	EXT2
CRB1	EXT2
CLEC2L	EXT2
FIBP	CLEC2L
GH1	STRAP
AR	AKT1
AR	IL6ST
APC2	ACTA1
AR	RAD9A
AR	SMAD3
AR	NCOA6
BCAR1	TRIP6
SRC	TRIP6
AR	CTNNB1
MSH2	BLM
FANCA	FANCF
FANCC	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
GADD45G	PCNA
AR	AR
SRC	PIK3R1
AR	DAXX
AR	STAT3
SP1	AR
SRC	BCAR1
EZR	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
BID	FADD
FASLG	BID
EZR	FASLG
FASLG	FADD
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
TNFRSF1A	BID
TNFRSF1A	FASLG
AR	GSK3B
GSN	AR
SMAD7	BMPR1A
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	RNF14
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
MARK3	RASGRF1
AR	DCC
ABL1	BCAR1
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	BCAR1
SFN	IRS1
SFN	MARK2
SFN	NEDD4L
SFN	OSBPL3
PPP1R3D	SFN
SFN	RHPN2
SFN	SHROOM3
SIPA1L1	SFN
FANCA	FANCC
AR	PTEN
AXIN1	APC
RB1	AR
BMP2	BMPR1A
AR	ZMIZ1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
PIK3CA	ATR
S100B	TP53
CTNNB1	LEF1
CDH15	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
YWHAB	RASGRF1
ETV6	ACTA1
CDH2	ACTA1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
FANCA	ATP5F1B
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
HRAS	RASGRF1
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
FANCG	CYP2E1
SPTBN1	EPB41L3
FANCA	DAXX
TP53BP1	DCLRE1A
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
BMPR1A	FKBP1B
FANCA	GNB2
AR	GRIP1
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
SMAD7	LEF1
FANCA	CD79A
MLH1	MSH2
SRC	PELP1
FANCA	MKNK1
NBN	MSH2
MSH2	RAD50
MSH2	MSH6
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
AR	PELP1
FANCA	FANCL
FANCA	DUS4L
GADD45G	PPARA
GADD45G	PPARD
FANCA	PRPF31
FANCA	PSMA5
RFC1	MSH2
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
SRC	NCOA6
FANCA	TAF10
TBP	GTF2H4
FANCA	CCT3
GTF2B	GTF2H4
POLR2A	GTF2H4
MED21	GTF2H4
BTAF1	GTF2H4
GTF2E1	GTF2H4
GTF2F1	GTF2H4
FANCA	TOP3A
FANCA	TPT1
ACTA1	TRIP6
ZNF350	RNF11
FANCA	ZNF24
ATG16L1	IKBKG
ELAVL4	NXF1
ABLIM3	ACTC1
USP8	RNF41
RNF41	BIRC6
MAP2K1	PEBP4
RAF1	PEBP4
HDAC3	RUNX2
RET	DOK6
RET	DOK5
CASP9	NAIP
NAIP	DIABLO
CACNA1E	EFHC1
ITGB1	ITGA3
DNM1	FNBP1
DNM1	PACSIN1
TF	FNBP1
TGFB1	VASN
TGFB2	VASN
ERCC3	GTF2H4
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
PLXNA1	PLXNA1
CACNB3	CACNA1C
CCNA1	GPS2
XRCC6	CCNA1
CCNA1	RBM4
CCNA1	KLHDC9
ACTN4	USP6NL
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
PRKCE	GAD2
PRKACA	GAD2
PRKACA	GAD1
PRKCE	GAD1
CACNA1C	CABP1
CLTCL1	SNX5
SORBS2	CBL
SORBS2	PTK2B
FLOT1	SORBS2
PTPN11	TREML1
TLR4	MYD88
MYD88	TLR9
ACTA1	PHACTR1
PPP1CA	PHACTR1
PPP1CA	ACTA1
CASP1	XK
POP4	POP1
RPP38	POP1
RPP40	POP1
POP1	POP1
POP1	RPP25
CRADD	PIDD1
CASP2	PIDD1
SLC9A3R1	OPRK1
RHOA	ARHGEF25
MT-ND2	GRIN1
TBR1	TSPYL2
ACTA1	MLPH
EFNB3	RHBDL2
TNFRSF10B	TIMM50
AR	SART3
KCNJ4	DLG1
CASK	KCNJ4
