# Graph Type: undirected
BCAR3	PABPC1
CDK4	GEMIN4
CDK2	CDK15
EIF6	HAS1
PSMB1	PASK
ARRB2	RAB5C
MAGEB2	RPL28
WDR5	PASK
RGS20	TXLNA
TIMM50	PHB2
MATR3	GSTK1
NTHL1	MRM3
PSPH	PRPSAP1
BCAR3	IMPDH2
TSPAN7	KPTN
BCAR3	IARS1
KRT82	LYAR
RGS20	RUVBL2
VHL	HAS1
PSPH	STYXL1
RGS20	TRMT112
RGS20	FAF2
RGS20	SET
SNRPA1	HNF1A
PSPH	ASF1B
FIBP	GEMIN4
MAGEB2	RPS11
KPTN	AUP1
SNCG	MCM3
CORO1A	UBE2G2
JPH3	STK24
PFAS	EPB41
SNCG	FUBP1
TTC4	OBI1
HNF1A	RHPN2
CRB1	PSMD13
PTP4A3	GTF2I
PRKD1	HDAC5
MARK2	MAP3K3
USP2	NFKB2
TBKBP1	TBK1
TNF	TNFRSF1B
GEMIN4	BRF2
DLG3	CAMK2A
KRT85	DLG3
S100A3	DLG3
SNCG	EXT2
CRB1	EXT2
CLEC2L	EXT2
FIBP	CLEC2L
GH1	STRAP
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
BCAR1	TRIP6
SRC	TRIP6
AR	CTNNB1
MSH2	BLM
HDAC1	MAD1L1
HDAC2	MAD1L1
FANCC	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
TP53	TFAP2A
AR	AR
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
AR	STAT3
SP1	AR
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
BID	FADD
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
TNFRSF1A	BID
TNFRSF1A	FASLG
TFAP2A	APC
AR	GSK3B
GSN	AR
SMAD7	BMPR1A
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	RNF14
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
MARK3	RASGRF1
HRK	BCL2L1
ABL1	BCAR1
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	BCAR1
SFN	IRS1
SFN	LMO7
SFN	MARK2
SFN	NEDD4L
SFN	OSBPL3
SFN	RHPN2
SFN	SHROOM3
SIPA1L1	SFN
AR	PTEN
RB1	AR
BMP2	BMPR1A
AR	ZMIZ1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
PIK3CA	ATR
S100B	TP53
CTNNB1	LEF1
CDH15	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
YWHAB	RASGRF1
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
TFAP2A	CTNNB1
HRAS	RASGRF1
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
FANCG	CYP2E1
SPTBN1	EPB41L3
TP53BP1	DCLRE1A
E2F1	TOPBP1
BMPR1A	FKBP1B
AR	GRIP1
KRT1	FANCC
SMAD7	LEF1
MLH1	MSH2
SRC	PELP1
NBN	MSH2
MSH2	RAD50
MSH2	MSH6
AR	PELP1
RFC1	MSH2
SRC	NCOA6
ZNF350	RNF11
ELAVL4	NXF1
ABLIM3	ACTC1
USP8	RNF41
RNF41	BIRC6
MAP2K1	PEBP4
RAF1	PEBP4
RET	DOK6
RET	DOK5
CASP9	NAIP
NAIP	DIABLO
CACNA1E	EFHC1
ITGB1	ITGA3
DNM1	FNBP1
DNM1	PACSIN1
TF	FNBP1
TGFB1	VASN
TGFB2	VASN
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
PLXNA1	PLXNA1
CACNB3	CACNA1C
CCNA1	GPS2
XRCC6	CCNA1
CCNA1	RBM4
CCNA1	KLHDC9
SMC4	DNMT3B
SIN3A	DNMT3B
HDAC1	DNMT3B
SMARCA5	DNMT3B
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
PRKCE	GAD2
PRKACA	GAD2
PRKACA	GAD1
PRKCE	GAD1
CACNA1C	CABP1
SORBS2	CBL
SORBS2	PTK2B
FLOT1	SORBS2
ITGA7	FHL2
FHL3	ITGA7
TLR4	MYD88
MYD88	TLR9
PPP1CA	PHACTR1
CASP1	XK
NOS1	ZDHHC23
POP4	POP1
RPP38	POP1
RPP40	POP1
POP1	POP1
POP1	RPP25
SLC5A1	PAWR
CRADD	PIDD1
CASP2	PIDD1
SLC9A3R1	OPRK1
RHOA	ARHGEF25
MT-ND2	GRIN1
TBR1	TSPYL2
RIPK1	TICAM1
EFNB3	RHBDL2
TNFRSF10B	TIMM50
AR	SART3
KCNJ4	DLG1
CASK	KCNJ4
KCNJ4	LIN7C
DMD	KCNJ4
KCNJ4	SNTA1
BMP2	SOSTDC1
BMP7	SOSTDC1
ULK1	SYNGAP1
