# Graph Type: undirected
CDC27	CDC20
CDH3	CDH3
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
SIAH2	RBBP8
CDH3	CTNNA1
CDH3	CTNNB1
FANCG	CYP2E1
SPTBN1	EPB41L3
FANCA	DAXX
DOK2	DOK1
DOK2	RASA1
DOK2	SHC1
DOK2	INPP5D
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
FANCA	FANCE
FANCD2	FANCE
BMPR1A	FKBP1B
FANCA	GNB2
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
JUP	CDH3
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
FANCA	CD79A
MLH1	MRE11
MLH1	MSH2
SRC	PELP1
FANCA	MKNK1
MSH2	MRE11
NBN	MSH2
MSH2	RAD50
MSH3	BARD1
MSH6	BARD1
MRE11	MSH6
MSH2	MSH6
FANCA	MX1
