# Graph Type: undirected
DPPA2	DVL3
LNX1	DVL3
PAICS	NUDT18
CCNK	CDK18
PSMA1	KCTD17
CEP70	ENKD1
TRIM29	MAD1L1
ZBTB48	DVL3
FBP1	RNF183
USP2	BEGAIN
LNX1	EHMT2
PLSCR1	CCER1
DUT	NUDT18
KCTD17	KCTD17
CCDC85B	FAM13C
NDC80	AMOTL2
ZCCHC10	THAP1
KCTD17	TUBGCP4
YIPF4	YIPF3
KRT15	ZNF638
AMOTL2	MAD1L1
EWSR1	TRPV5
HOMER1	SARG
APPBP2	PCSK5
UBXN11	CFAP206
KRT15	AMOTL2
ZNF165	PDLIM7
LRRC18	KCTD17
FNDC11	PDLIM7
KRT15	NIF3L1
PAICS	LNX1
MAGEA11	SNX7
PHF1	THAP1
AP2B1	TENT5C
FAM107A	CCDC85B
CAPN3	NECAB2
HIF1AN	INVS
KRT15	KIAA1217
ELOA2	CEP70
ZSCAN9	ZNF446
IL16	DMRTB1
CCDC85B	ZC2HC1C
TSC22D3	HPCAL4
TRIP6	IQCN
TNNT1	NINL
PRC1	CCDC85B
GLUL	NUDT18
CDCA3	CTDSP1
NECAB2	CCDC33
DTNB	HMG20A
CCDC85B	PIDD1
SAT1	FAM86C1P
CBX5	ELOA2
C2CD6	TEX11
KRT15	PSMA1
CCDC85B	FNDC11
MAGEA11	WTAP
KRT15	ABI2
PCM1	CEP72
HGS	TADA2A
ABLIM1	KRT15
U2AF2	THAP1
RAB33A	RTN4
BRME1	AIMP2
VIM	RIBC2
CCDC185	KXD1
RBPMS	ENKD1
IL11	MAGEA11
FXR2	DPPA2
TRIM37	PBK
NECAB2	NOC4L
CATSPER1	CHIC2
NDC80	CALCOCO1
FBP1	LNX1
FAM107A	NINL
CCDC85B	C8orf48
APPBP2	SYT11
NUDT18	CUTC
MAGEA11	ZNF655
BEGAIN	ENKD1
TNNT1	FXR2
DTNB	PPFIBP2
FXR2	NECAB2
PLSCR1	SMCP
TUBGCP4	MAD1L1
CEP63	KXD1
STRBP	THAP1
PLK4	PLK4
MAGEA11	CCDC185
OGT	NUP62CL
ZNRD2	FXR2
EWSR1	SUV39H2
ENOX2	ENOX1
MAGEA11	MED28
NT5C2	NOC4L
KRT15	PSMC5
DVL2	ZNF165
DYDC1	MID2
TEX11	SNX7
FAM107A	CALCOCO2
TRIM29	JAKMIP2
RAB2A	FAM71C
ZNF250	ZNF165
PLSCR1	C10orf62
KRT15	PRPH
KRT15	MAD2L1BP
WDR62	MAPK9
DVL2	THAP1
CBY2	CEP44
PLOD3	DPPA2
SNAPC5	NOL4
CBY2	CBY2
AP2B1	RIBC2
PRKCZ	PARD6A
NXF3	NXT2
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
CDK4	CDKN2B
AP2B1	AP1M2
E2F6	TFDP2
GEMIN6	GEMIN7
EPS8	BAIAP2
MAD1L1	MAD1L1
FANCG	FANCA
S100A1	S100A4
MAD2L1	MAD1L1
EIF3G	EIF3C
ZBTB48	ZBTB8A
LNX1	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
XRCC4	XRCC4
LIG4	XRCC4
PLAU	SERPINE1
PLAU	SERPINE2
MYC	DNMT3A
BCL2	ITPR1
RB1	LIN9
CCK	CCKBR
KNL1	MIS12
MIS12	DSN1
NDC80	MIS12
NUF2	MIS12
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
