# Graph Type: undirected
GEMIN4	BRF2
BRF2	FANCI
NUP93	BRF2
UFL1	CASP4
CASP4	VDAC3
KRT85	DLG3
S100A3	DLG3
SNCG	EXT2
FABP4	EXT2
MAGEB2	RPL36A
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	NUP93
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
FANCC	FANCE
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
SRC	TRIP6
MUC1	APC
ATM	FANCD2
H2AX	BARD1
UBE2D1	BARD1
RELA	BARD1
MSH2	BARD1
BCL2	SERPINB8
AR	CTNNB1
MYC	NMI
BLM	FANCD2
MRE11	BLM
MSH2	BLM
NBN	MRE11
MRE11	RAD50
CDH1	HDAC1
HDAC1	MAD1L1
CDH1	HDAC2
HDAC2	MAD1L1
FANCC	FANCF
FANCE	FANCF
FANCG	FANCF
CBL	ZAP70
AR	CCNH
AR	CDK7
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
AR	AR
CDH1	SRC
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
MUC1	CTNNB1
AR	STAT3
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
BARD1	BABAM2
BRCC3	BARD1
SP1	AR
RBM39	ESR2
TP53	EPHA3
EWSR1	BARD1
CDH1	VCL
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	CASP8
CDH1	ITGAE
TFAP2A	APC
AR	GSK3B
MUC1	GSK3B
GSN	AR
SMAD7	BMPR1A
LYN	MUC1
CSTF2	BARD1
CDH1	CTNNA1
CDH1	JUP
TP53	BARD1
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	FOXA1
NBN	FANCD2
AR	RNF14
ERBB2	MUC1
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
LCK	PIK3R1
MYC	BCL2
CDH1	GNA13
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	CGN
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	MARK2
SFN	NEDD4L
SFN	OSBPL3
SFN	PKP2
PPP1R3D	SFN
SFN	RALGPS2
SFN	RHPN2
SFN	SHROOM3
SIPA1L1	SFN
SFN	TNS4
WEE1	SFN
JUP	MUC1
MEN1	FANCD2
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
CDH1	CDH1
CDH1	CDH3
AR	ZMIZ1
UBE2D2	BARD1
ATM	EIF4EBP1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
MRE11	ATM
MRE11	ATR
MRE11	PRKDC
PIK3CA	ATR
POLD1	ATR
S100B	TP53
CTNNB1	LEF1
CDH1	GNA12
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
BARD1	BARD1
TFAP2A	CTNNB1
CDH3	CDH3
POLR2A	CTDP1
SIAH2	RBBP8
