# Graph Type: undirected
A	B
TNIP2	PKP4
PPP1R12A	TNIP2
DAPK1	TNIP2
PAPSS1	TNIP2
TNIP2	SAP30L
FAM171A1	TNIP2
TNIP2	FBXL12
TNIP2	ZNF721
TNIP2	BRD7
TNIP2	SNRNP25
TNIP2	MYLIP
CCSAP	TNIP2
CAMSAP1	TNIP2
TNIP2	PDS5B
TNIP2	MTCL1
C15orf61	TNIP2
ATF7IP	TNIP2
PRPF8	TNIP2
GUCY1B1	TNIP2
TSC22D2	TNIP2
PPFIA1	TNIP2
TNIP2	ZBTB18
SFSWAP	TNIP2
ABR	TNIP2
HDDC2	TNIP2
MYH10	TNIP2
TNIP2	CHMP2B
TNIP2	NDFIP2
TNIP2	MFSD14A
ZNHIT3	TNIP2
PCBD1	TNIP2
COG7	TNIP2
CTSL	TNIP2
EIF4G1	TNIP2
TNIP2	MTERF3
LMAN2	TNIP2
ADGRL2	TNIP2
NCK2	TNIP2
TNIP2	PFDN4
CEBPB	TNIP2
TNIP2	C12orf65
TNIP2	PUM2
TNIP2	WDR35
AKIRIN2	TNIP2
TNIP2	MRPL44
TLE1	TNIP2
LSM8	TNIP2
RPL10A	TNIP2
TNIP2	ZNF512B
TNIP2	MARK1
MERTK	TNIP2
NCOA1	TNIP2
TNIP2	OSTC
TNIP2	MED8
TNIP2	RIMKLB
ABHD17C	TNIP2
RNF113A	TNIP2
NET1	TNIP2
TNIP2	WASF3
GPBP1	TNIP2
NDUFB6	TNIP2
SULF2	TNIP2
PRPSAP2	TNIP2
TNIP2	CHCHD7
RPP38	TNIP2
ITPRID2	TNIP2
ENOX2	TNIP2
PPP1R7	TNIP2
CNST	TNIP2
ACTN4	TNIP2
TNIP2	C9orf85
TNIP2	ZFAND3
SMIM13	TNIP2
PTPRA	TNIP2
RPL12	TNIP2
MPHOSPH10	TNIP2
ZNF14	TNIP2
RPS27	TNIP2
TNIP2	ZCRB1
TNIP2	MFHAS1
DHX32	TNIP2
SMCHD1	TNIP2
TNIP2	TBC1D14
STK10	TNIP2
TNIP2	NUDT15
POLR2J	TNIP2
TNIP2	SMIM8
SARNP	TNIP2
MBTPS1	TNIP2
NUP62	TNIP2
SUB1	TNIP2
MPRIP	TNIP2
DAG1	TNIP2
EXT1	TNIP2
TNIP2	CCDC34
TNIP2	PAXBP1
TNIP2	TBC1D7
TNIP2	EIF2AK4
EIF2D	TNIP2
PSMG4	TNIP2
TNIP2	CEPT1
TNIP2	MED13
TNIP2	AMOTL2
KCTD2	TNIP2
TNIP2	ARPC1A
TNIP2	SDAD1
TNIP2	YTHDF1
TNIP2	ZC3H4
TNIP2	KMT5A
TNIP2	PRELID1
ARPC2	TNIP2
ASXL1	TNIP2
TNIP2	OTUD5
LDB1	TNIP2
CNN3	TNIP2
TNIP2	PLCL2
SMNDC1	TNIP2
TNIP2	WAC
TNIP2	CMC2
TNIP2	MRPL18
DGUOK	TNIP2
TNIP2	DUSP16
TNIP2	TXNDC17
TLE4	TNIP2
RPA3	TNIP2
TNIP2	EHMT1
TNIP2	WBP11
ZC3H7A	TNIP2
ELOA	TNIP2
ANKRD11	TNIP2
PAXIP1	TNIP2
TNIP2	TLNRD1
ZNF746	TNIP2
POLR2F	TNIP2
RPL22L1	TNIP2
TNIP2	WIPI2
USP32	TNIP2
EMC8	TNIP2
TNIP2	GSKIP
TNIP2	SCAPER
TNIP2	RBM38
TNIP2	TBC1D22B
TXNDC12	TNIP2
RBX1	TNIP2
JUNB	TNIP2
PBX3	TNIP2
UXS1	TNIP2
C2orf76	TNIP2
TNIP2	MRFAP1L1
PNP	TNIP2
FOXF2	TNIP2
CPNE8	TNIP2
ZFAND2A	TNIP2
TNIP2	ATXN2L
TNIP2	MED10
PSMD14	PSMD14
TRIM37	PEX5
PSMA2	PEX5
AKTIP	AKTIP
UBC	AKTIP
LMNA	AKTIP
GAPDH	AKTIP
C1QBP	AKTIP
RPLP2	AKTIP
TXN	AKTIP
AKTIP	EIF3L
RPS15A	AKTIP
HSPD1	AKTIP
ENO1	AKTIP
AKTIP	HACD3
PRDX2	AKTIP
ACTB	AKTIP
HADHA	AKTIP
BLMH	AKTIP
EFTUD2	AKTIP
VDAC2	AKTIP
PDHB	AKTIP
HADHB	AKTIP
EIF3E	AKTIP
NDUFS2	AKTIP
PSMC5	AKTIP
UQCRC2	AKTIP
PHLPP2	AKTIP
YME1L1	AKTIP
SELENBP1	AKTIP
DNAJA1	AKTIP
EEF2	AKTIP
TKT	AKTIP
AKTIP	SLC25A13
HNRNPL	AKTIP
IPO7	AKTIP
AKTIP	LARS1
VCP	AKTIP
CAND1	AKTIP
UBE2N	RFFL
UBE2N	UBE3A
UBE2V2	RFFL
SOCS2	CACUL1
SOCS2	COPS2
SOCS2	COPS3
SOCS2	CRK
SOCS2	CTNNB1
DDX39A	SOCS2
SOCS2	DIS3
SOCS2	EZR
SOCS2	GPI
SOCS2	IPO7
SOCS2	OGA
SOCS2	POLR2A
SOCS2	POLR2H
SOCS2	PPM1G
PSMD12	SOCS2
SOCS2	PSMD8
SOCS2	RPS11
SOCS2	RTN4
SOCS2	SLC25A6
SOCS2	SLC4A1AP
SOCS2	STAT5B
SOCS2	UBAC2
SOCS2	ACBD3
SOCS2	AMBRA1
SOCS2	ATP6V1E1
SOCS2	BACH1
SOCS2	DCUN1D5
SOCS2	GLUL
SOCS2	GNAS
SOCS2	KCTD12
SOCS2	NCAPD3
SOCS2	PMPCB
SOCS2	RAB1A
SOCS2	SCAMP3
SOCS2	SEC61A1
SOCS2	SHROOM1
SOCS2	SLC25A11
SOCS2	SUPT4H1
SOCS2	TAF15
SOCS2	TIMM13
SOCS2	TTLL12
SOCS2	WDTC1
GSK3B	USP48
GATA3	HIF1A
VHL	UBE2I
VHL	SUMO1
RBBP4	RBBP4
VCP	SELENOK
KPNA3	USP1
USP1	KPNB1
RPA1	MORF4L1
RNF4	ZSCAN26
PJA2	LATS1
PJA2	MOB1A
H2BC21	WDTC1
RNF4	ZNF800
RNF4	ZNF771
RNF4	ZNF768
RNF4	ZNF765
RNF4	ZNF740
RNF4	ZNF697
RNF4	ZNF691
RNF4	ZNF664
RNF4	ZNF655
RNF4	ZNF652
RNF4	ZNF644
RNF4	ZNF629
ZNF609	RNF4
RNF4	ZNF608
ZNF587B	RNF4
RNF4	ZNF581
RNF4	ZNF518A
RNF4	ZNF512
RNF4	ZNF502
RNF4	ZNF473
RNF4	ZNF467
RNF4	ZNF451
RNF4	ZNF436
RNF4	ZNF420
RNF4	ZNF407
RNF4	ZNF384
RNF4	ZNF362
RNF4	ZNF322
ZNF320	RNF4
RNF4	ZNF319
RNF4	ZNF317
ZNF316	RNF4
RNF4	ZNF286A
RNF4	ZNF281
RNF4	ZNF275
RNF4	ZNF260
ZNF250	RNF4
ZNF24	RNF4
RNF4	ZNF239
ZNF22	RNF4
ZNF189	RNF4
RNF4	ZNF160
ZNF16	RNF4
RNF4	ZNF146
ZNF143	RNF4
ZNF142	RNF4
ZNF12	RNF4
RNF4	ZNF106
RNF4	ZMYND11
RNF4	ZMYM4
RNF4	ZMYM3
RNF4	ZMYM2
ZMPSTE24	RNF4
ZKSCAN1	RNF4
ZFPL1	RNF4
RNF4	ZFP90
RNF4	ZFP62
ZFC3H1	RNF4
RNF4	ZDHHC5
RNF4	ZCCHC7
RNF4	ZBTB33
YY1	RNF4
RNF4	YTHDC1
RNF4	YIPF3
YIF1A	RNF4
YBX1	RNF4
XRCC5	RNF4
XPOT	RNF4
RNF4	XPO7
RNF4	XPO5
XPO1	RNF4
RNF4	XPC
WFS1	RNF4
RNF4	WDR74
RNF4	WDR36
RNF4	WDR3
WDR1	RNF4
RNF4	WAC
RNF4	VTI1B
RNF4	VTI1A
RNF4	VRK2
RNF4	VPS52
RNF4	VPS35
RNF4	DCAF1
RNF4	VMA21
RNF4	SELENOS
VIM	RNF4
RNF4	VEZF1
VDAC2	RNF4
VCP	RNF4
RNF4	VAT1
VAPB	RNF4
RNF4	VAPA
VAMP7	RNF4
RNF4	VAMP3
RNF4	UTP18
RNF4	USP42
RNF4	USP34
RNF4	USP3
RNF4	USP13
USO1	RNF4
RNF4	USE1
RNF4	URB2
RNF4	UQCC1
RNF4	UIMC1
RNF4	UBIAD1
UBE4B	RNF4
RNF4	UBE4A
RNF4	UBAP2
RNF4	UBAC2
RNF4	TXNDC15
TXNDC12	RNF4
RNF4	TWSG1
RNF4	TUSC3
TUFM	RNF4
RNF4	TTYH3
TSPO	RNF4
TSPAN9	RNF4
RNF4	TSN
RNF4	TSC22D1
RNF4	TRA2A
TPI1	RNF4
RNF4	TPBG
TP53I11	RNF4
RNF4	TP53BP1
RNF4	TOPORS
RNF4	TOP2B
TOP1	RNF4
RNF4	TNPO3
RNF4	TNPO1
TNKS	RNF4
TNFRSF10B	RNF4
RNF4	TMX4
RNF4	TMX3
RNF4	TMX2
RNF4	TMX1
RNF4	TMUB2
RNF4	TMUB1
RNF4	TMTC3
TMPO	RNF4
RNF4	TMEM97
RNF4	TMEM9
RNF4	TMEM65
RNF4	TMEM43
RNF4	TMEM41B
RNF4	TMEM38B
TMEM33	RNF4
RNF4	TMEM30A
RNF4	TMEM237
RNF4	TMEM214
RNF4	TMEM205
RNF4	CEMIP2
RNF4	TMEM167A
RNF4	TMEM165
RNF4	TMEM132A
TMEM129	RNF4
RNF4	TMEM109
RNF4	TMEM106B
RNF4	TMED9
TMED10	RNF4
RNF4	TMCO1
RNF4	TM9SF4
RNF4	TM9SF3
RNF4	TJP1
RNF4	TIMM21
RNF4	TIMELESS
RNF4	THRAP3
RNF4	THOC2
TFRC	RNF4
RNF4	TFIP11
RNF4	TEX264
RNF4	TEX10
RNF4	TECR
TDP2	RNF4
RNF4	TCOF1
RNF4	TCF7L2
RNF4	ELOA
RNF4	TBL3
RNF4	TBCD
RNF4	TBC1D5
TBC1D4	RNF4
RNF4	TBC1D24
RNF4	TBC1D23
RNF4	TBC1D20
RNF4	TBC1D15
RNF4	TBC1D10B
RNF4	TAP2
RNF4	TAP1
RNF4	TAF2
RNF4	SYVN1
RNF4	SYMPK
SURF4	RNF4
RNF4	SUN2
SUN1	RNF4
SUMO3	RNF4
RNF4	STX8
STX7	RNF4
RNF4	STX5
RNF4	STX4
RNF4	STX3
RNF4	STX18
STX16	RNF4
RNF4	STX12
RNF4	STT3B
STT3A	RNF4
RNF4	STRIP1
STOM	RNF4
RNF4	STIM1
RNF4	STEAP3
STAT3	RNF4
STAT1	RNF4
SSR4	RNF4
RNF4	SSR3
RNF4	SRRM2
RNF4	SRPRB
SREBF1	RNF4
RNF4	SQSTM1
RNF4	SQLE
SPTLC1	RNF4
RNF4	SPTBN1
SPCS3	RNF4
RNF4	SPCS2
RNF4	SPCS1
RNF4	SOWAHC
SOD2	RNF4
SOD1	RNF4
SOAT1	RNF4
SNRNP200	RNF4
RNF4	SNIP1
RNF4	PPP4R3B
RNF4	SMC6
RNF4	SMC5
RNF4	SMARCC2
RNF4	SMARCC1
SLPI	RNF4
RNF4	SLFN5
RNF4	SLC7A5
SLC7A1	RNF4
RNF4	SLC5A6
RNF4	SLC4A7
SLC3A2	RNF4
RNF4	SLC39A7
RNF4	SLC39A6
RNF4	SLC39A14
RNF4	SLC39A11
RNF4	SLC39A10
RNF4	SLC35E1
RNF4	SLC30A9
RNF4	SLC30A7
RNF4	SLC30A1
SLC2A1	RNF4
RNF4	SLC29A1
RNF4	SLC27A4
RNF4	SLC27A1
SLC25A5	RNF4
RNF4	SLC25A3
RNF4	SLC22A18
RNF4	SLC1A5
SLC1A4	RNF4
SLC16A1	RNF4
SLC12A2	RNF4
RNF4	SIRPA
RNF4	SIN3A
RNF4	SIGMAR1
SGPL1	RNF4
SFPQ	RNF4
RNF4	SF3B4
SF3B1	RNF4
RNF4	SF3A2
RNF4	SF1
RNF4	KMT5A
RNF4	SENP1
RNF4	SEL1L
RNF4	SEC63
RNF4	SEC62
SEC61B	RNF4
SEC61A1	RNF4
SEC22B	RNF4
ADAR	BTRC
CETN3	HADHA
CETN3	ATP5F1A
CETN3	ATP5F1B
CETN3	HADHB
CETN3	RBCK1
CETN3	RAD23B
CETN3	MRPL32
CETN3	MDN1
ENG	BMPR2
ACVR2A	BMPR2
GSK3B	ZNF281
RNF4	SEC22A
SEC11A	RNF4
RNF4	SDF2L1
RNF4	SDF2
RNF4	SDAD1
RNF4	SCD5
SCD	RNF4
RNF4	SCCPDH
RNF4	SCARB2
RNF4	SCARB1
SCAMP3	RNF4
SCAMP2	RNF4
SCAMP1	RNF4
RNF4	SARAF
RNF4	SAFB2
RNF4	SAFB
RNF4	SACM1L
RNF4	RTN4
RTN3	RNF4
RNF4	RSPRY1
RNF4	RSF1
RNF4	RSBN1
RNF4	RRP1B
RNF4	RRP12
RRP1	RNF4
RNF4	RRN3
RPS7	RNF4
RPS6	RNF4
RPS3	RNF4
RPS24	RNF4
RPS23	RNF4
RPS18	RNF4
RPS10	RNF4
RPN2	RNF4
RPN1	RNF4
RPLP2	RNF4
RPL8	RNF4
WDR82	SHARPIN
TXNL1	SHARPIN
TSNAX	SHARPIN
TPI1	SHARPIN
RPS6	SHARPIN
SHARPIN	RNF114
RPL23A	SHARPIN
SHARPIN	RAB18
PSMD7	SHARPIN
SHARPIN	PSMD13
PSMD12	SHARPIN
PSMB3	SHARPIN
PSMB2	SHARPIN
PSMA7	SHARPIN
PSMA4	SHARPIN
PSMA3	SHARPIN
PSMA1	SHARPIN
PSMC4	SHARPIN
PRDX5	SHARPIN
PPP1CA	SHARPIN
RABGGTB	SHARPIN
OTUB1	SHARPIN
SHARPIN	OSGEP
NEK7	SHARPIN
NANP	SHARPIN
NAA10	SHARPIN
MTR	SHARPIN
SLC25A11	SHARPIN
LDHB	SHARPIN
GET4	SHARPIN
CLINT1	SHARPIN
EMD	SHARPIN
SHARPIN	DECR2
DCAF12	SHARPIN
SHARPIN	STUB1
HCCS	SHARPIN
BAG6	SHARPIN
ARPC2	SHARPIN
ACTR2	SHARPIN
ACTR3	SHARPIN
TUBB	CHD3
ACTB	CHD3
TUBB4B	CHD3
MYH10	CHD3
KRT10	CHD3
TUBA1B	CHD3
CHD3	TUBA1A
ATP5F1A	CHD3
ATP5F1B	CHD3
ACTC1	CHD3
KRT2	CHD3
CHD3	PHB2
PHB	CHD3
SLC25A5	CHD3
HSPD1	CHD3
HNRNPM	CHD3
MYH9	CHD3
SLC25A6	CHD3
HSPA9	CHD3
RPL18	CHD3
RPS3	CHD3
HNRNPU	CHD3
RPLP0	CHD3
HSPA5	CHD3
HNRNPF	CHD3
CHD3	DDX17
HNRNPH1	CHD3
CHD3	ADNP
VDAC2	CHD3
HNRNPC	CHD3
EEF1A1	CHD3
RPL6	CHD3
RPL12	CHD3
RPL15	CHD3
VDAC1	CHD3
MYO1B	CHD3
CHD3	RAB1B
ATP5F1C	CHD3
RPL7	CHD3
RPS16	CHD3
RAB10	CHD3
RPS19	CHD3
HSP90AB1	CHD3
HSP90AA1	CHD3
RPL8	CHD3
MB	CHD3
RPL30	CHD3
RPS5	CHD3
RPL14	CHD3
RPN1	CHD3
CHD3	ATAD3A
CSE1L	CHD3
SLC25A3	CHD3
GNB2	CHD3
ATP5PO	CHD3
RPL19	CHD3
RPL10A	CHD3
RAB7A	CHD3
UQCRC2	CHD3
MYL6	CHD3
DDOST	CHD3
RPL23A	CHD3
CHD3	VDAC3
RPL9	CHD3
ATP5PB	CHD3
RNF4	RPL36
RPL35	RNF4
RPL32	RNF4
RPL31	RNF4
RPL3	RNF4
RPL29	RNF4
RPL27A	RNF4
RPL27	RNF4
ACTG1	CHD3
ADAR	CHD3
PARP1	CHD3
ANXA2	CHD3
APOD	CHD3
CHD3	ZFHX3
CHD3	CDC5L
CUX1	CHD3
CHD3	DDX1
DDX3X	CHD3
DHX9	CHD3
CHD3	DDX10
DHX15	CHD3
DSP	CHD3
EIF2S1	CHD3
EIF4G1	CHD3
EIF4G2	CHD3
CHD3	ELAVL1
EPRS1	CHD3
ERH	CHD3
FBL	CHD3
EWSR1	CHD3
FABP5	CHD3
FMR1	CHD3
FUS	CHD3
XRCC6	CHD3
GAPDH	CHD3
MSH6	CHD3
H1-2	CHD3
HNRNPA1	CHD3
HNRNPA2B1	CHD3
CHD3	HNRNPAB
CHD3	HNRNPD
HNRNPH3	CHD3
IARS1	CHD3
CHD3	ILF2
CHD3	ILF3
EIF6	CHD3
JUP	CHD3
KPNA1	CHD3
KPNA2	CHD3
KPNA3	CHD3
KRT8	CHD3
LIG3	CHD3
LMNA	CHD3
CHD3	CAPRIN1
MCM3	CHD3
MCM7	CHD3
MKI67	CHD3
NCL	CHD3
SNU13	CHD3
NOP2	CHD3
CHD3	NONO
NPM1	CHD3
YBX1	CHD3
CHD3	NUMA1
CHD3	PCBP1
CHD3	PCBP2
PPP1CA	CHD3
PPP1CB	CHD3
PPP1CC	CHD3
PRKDC	CHD3
PTBP1	CHD3
RFC1	CHD3
RFC3	CHD3
BRD2	CHD3
RPL3	CHD3
RPL11	CHD3
RPL22	CHD3
RPL24	CHD3
RPL27	CHD3
RPL27A	CHD3
RPL28	CHD3
RPL31	CHD3
RPLP1	CHD3
RPLP2	CHD3
RPS2	CHD3
RPS4X	CHD3
RPS6	CHD3
RPS7	CHD3
RPS9	CHD3
RPS10	CHD3
RPS11	CHD3
RPS12	CHD3
RPS14	CHD3
RPS15	CHD3
RPS15A	CHD3
RPS17	CHD3
RPS18	CHD3
RPS23	CHD3
RPS24	CHD3
RPS25	CHD3
RPS27	CHD3
RPS27A	CHD3
RPS28	CHD3
S100A8	CHD3
SFPQ	CHD3
SRSF1	CHD3
SRSF3	CHD3
CHD3	SRSF5
CHD3	SRSF6
CHD3	SRSF7
SFSWAP	CHD3
TRA2B	CHD3
SMARCA1	CHD3
SMARCA4	CHD3
SMARCB1	CHD3
CHD3	SMARCC1
CHD3	SMARCD1
CHD3	SMARCE1
SNRNP70	CHD3
SNRPA1	CHD3
SNRPB	CHD3
SNRPD1	CHD3
SNRPD2	CHD3
SPTBN1	CHD3
CHD3	SRP68
SRP72	CHD3
SSRP1	CHD3
STAU1	CHD3
SUPT5H	CHD3
CHD3	SUPT6H
CHD3	ELOA
TMPO	CHD3
TOP1	CHD3
TOP2B	CHD3
UBTF	CHD3
XRCC5	CHD3
ZKSCAN1	CHD3
CHD3	ZNF146
CHD3	TAF15
COIL	CHD3
CHD3	SMC1A
ARID1A	CHD3
CHD3	API5
RRP1	CHD3
CHD3	RUVBL1
CHD3	EIF3A
EIF3B	CHD3
EIF3F	CHD3
EIF3G	CHD3
CHD3	PABPC4
IQGAP1	CHD3
CHD3	DDX18
CHD3	H1-10
CHD3	BAZ1B
SART1	CHD3
CHD3	SMC3
PRPF4	CHD3
PRPF3	CHD3
CHD3	SCAF11
CHD3	DDX21
CHD3	NOLC1
CHD3	TRIP4
CHD3	EFTUD2
CHD3	DDX23
FXR2	CHD3
CHD3	RBM39
CHD3	ZNF592
CHD3	CTR9
CHD3	BCLAF1
EIF4A3	CHD3
CHD3	DHX38
CHD3	DDX46
ZBTB5	CHD3
CHD3	PUM3
CHD3	THRAP3
HNRNPDL	CHD3
CHD3	G3BP1
CHD3	SUGP2
CEBPZ	CHD3
RBM5	CHD3
CHD3	ALYREF
DDX39A	CHD3
HNRNPR	CHD3
CHD3	SRRM1
AKAP8	CHD3
SAP18	CHD3
BCAS2	CHD3
CHD3	SF3A1
NSA2	CHD3
SYNCRIP	CHD3
CHD3	MYBBP1A
CHD3	CHERP
CHD3	PRPF8
TBL3	CHD3
KHDRBS1	CHD3
CHD3	RAI1
CHD3	UTP14A
CHD3	WDR3
CHD3	HNRNPA0
CBX1	CHD3
CHD3	EBNA1BP2
CHD3	ASCC3
CHD3	SF3B2
CHD3	DDX52
CHD3	KRR1
PSIP1	CHD3
CHD3	BAZ1A
CHD3	SUPT16H
RPL35	CHD3
CHD3	DDX42
CHD3	CBX3
U2AF2	CHD3
CHD3	XRN2
CHD3	DHX30
CHD3	PDCD11
CHD3	ACIN1
SNRNP200	CHD3
CHD3	RRP1B
CHD3	ZC3H13
CHD3	MDN1
CHD3	FAM120A
CHD3	PRRC2C
CHD3	RRP12
U2SURP	CHD3
CHD3	FNBP4
CHD3	LARP1
CHD3	SF3B3
SF3B1	CHD3
MTREX	CHD3
CHD3	GTPBP4
CHD3	PATZ1
CHD3	ZMYND8
CHD3	TFIP11
PRPF6	CHD3
CHD3	RPL36
CHD3	FAM98A
CHD3	VIRMA
CHD3	NGDN
CHD3	CHTOP
CHD3	PRPF31
CHD3	NOC2L
RSL1D1	CHD3
CHD3	AATF
PABPC1	CHD3
CHD3	AKAP8L
CHD3	PELP1
CHD3	SND1
HTATSF1	CHD3
CHD3	PRPF19
CHD3	GNL2
CHD3	PYCR2
CHD3	HP1BP3
CHD3	RPS27L
CHD3	MRTO4
CHD3	DDX47
CHD3	EIF3L
CHD3	DDX41
CHD3	RTCB
CHD3	NOP58
CHD3	RTRAF
CHD3	SF3B6
CHD3	ZFR
LUC7L3	CHD3
CHD3	DDX56
CHD3	RBM28
CHD3	SDAD1
CHD3	PBRM1
CHD3	NAT10
CHD3	STRBP
CHD3	LRRC59
CHD3	NCBP3
CHD3	ZCCHC8
CHD3	LYAR
CHD3	DDX27
CHD3	LUC7L
CHD3	TSR1
CHD3	CCAR1
NKRF	CHD3
YLPM1	CHD3
CHD3	PNO1
CHD3	DDX24
CHD3	ZNF512B
CHD3	USP36
CHD3	DDX55
CHD3	NCOA5
RBM25	CHD3
CHD3	NOC3L
CHD3	RBM15
CHD3	SPATS2
CHD3	DDX50
CHD3	DDX54
CHD3	MMTAG2
CHD3	HMBOX1
CHD3	NOL9
CHD3	ZFHX4
CHD3	NOL10
CHD3	FIP1L1
CHD3	LAS1L
CHD3	ATAD3B
CHD3	POLDIP3
CHD3	C7orf50
SARNP	CHD3
CHD3	NIFK
CHD3	ZNF512
CHD3	GLYR1
CHD3	RBM17
H2BC12	CHD3
CHD3	ZNF622
CHD3	MTDH
CHD3	PAXBP1
CHD3	FTSJ3
CHD3	ZC3H18
CHD3	WDR36
CHD3	CENPV
HNRNPA3	CHD3
CHD3	HNRNPUL2
CHD3	BEND7
CHD3	ZNF326
CHD3	DDX51
CHD3	CCDC137
CHD3	KNOP1
CHD3	RBM14
U2AF1	CHD3
CHD3	GPATCH4
RPL23A	RNF4
RNF4	RPL19
RNF4	RPL18
RPL15	RNF4
RPL14	RNF4
RPL10A	RNF4
RNF4	RNPS1
RNF4	RNF216
RNF4	RNF185
RNF4	RNF168
RNF4	RNF149
RNF4	RNF111
RNF4	RMND1
RNF4	RLF
RNF4	RINT1
RNF4	RIF1
RNF4	RHOG
RNF4	RHBDD2
RNF4	RHBDD1
RFX1	RNF4
RNF4	RERE
RER1	RNF4
RNF4	REPIN1
RNF4	REEP5
RNF4	REEP4
RNF4	RDH11
RNF4	RBM7
RNF4	RBM33
RNF4	RBM27
RNF4	RBM15B
RNF4	RBBP7
RNF4	RBBP6
RB1	RNF4
RARS1	RNF4
RANGAP1	RNF4
RANBP2	RNF4
RABGGTB	RNF4
RNF4	RAB8B
RAB8A	RNF4
RAB7A	RNF4
RAB5C	RNF4
RAB5B	RNF4
RNF4	RAB35
RAB2A	RNF4
RAB27A	RNF4
RNF4	RAB21
RAB1A	RNF4
RNF4	RAB18
RAB14	RNF4
RNF4	RAB11FIP5
RNF4	RAB11B
RAB10	RNF4
QARS1	RNF4
RNF4	PXMP2
PVR	RNF4
RNF4	PTRHD1
RNF4	PTRH2
RNF4	CAVIN1
RNF4	PTPRK
PTPRF	RNF4
RNF4	PTGFRN
PTDSS1	RNF4
PTBP1	RNF4
RNF4	PSMD6
PSMD4	RNF4
PSMD3	RNF4
RNF4	PSMD2
RNF4	PSMD1
PSMC5	RNF4
PSMA5	RNF4
PSMA2	RNF4
PSIP1	RNF4
RNF4	PRPF8
RNF4	PRPF4B
PRPF40A	RNF4
RNF4	PRPF38B
PRNP	RNF4
THAP12	RNF4
RNF4	PRKDC
RNF4	PREB
PRAF2	RNF4
RNF4	PPP6R3
RNF4	PPP2R5E
RNF4	PPP2R5D
RNF4	PPP2R5C
RNF4	PPP1R8
RNF4	PPP1R10
PPIA	RNF4
POR	RNF4
RNF4	POGZ
PODXL	RNF4
RNF4	PNN
PLXNB2	RNF4
PLSCR1	RNF4
PLRG1	RNF4
RNF4	PLP2
RNF4	PLOD1
RNF4	PLK2
RNF4	PLEC
RNF4	PKMYT1
PKM	RNF4
RNF4	PIGT
RNF4	PIGS
RNF4	PIGK
RNF4	PIAS3
PIAS2	RNF4
PIAS1	RNF4
RNF4	PHLDA1
RNF4	PHF6
RNF4	PHF3
RNF4	PHB2
PHB	RNF4
PGRMC2	RNF4
PGRMC1	RNF4
RNF4	PEX26
RNF4	PEX16
RNF4	PEX13
PEX12	RNF4
PEX11B	RNF4
RNF4	PELP1
RNF4	PDS5B
RNF4	PDS5A
RNF4	PDLIM7
RNF4	PDIA6
PDIA4	RNF4
PDIA3	RNF4
PDGFRB	RNF4
RNF4	PCID2
RNF4	PBXIP1
RNF4	PBRM1
RNF4	PARVA
PARP1	RNF4
RNF4	PARL
RNF4	TENT4B
PAFAH1B1	RNF4
RNF4	P4HTM
P4HB	RNF4
P4HA2	RNF4
RNF4	OXA1L
RNF4	OSBPL8
ORC5	RNF4
RNF4	ORC3
RNF4	ORC2
RNF4	OMA1
RNF4	OCLN
RNF4	NUS1
RNF4	NUP85
RNF4	NUP43
RNF4	NUP210
RNF4	NUP205
RNF4	NUP188
RNF4	NUP160
NUP107	RNF4
RNF4	NUFIP2
RNF4	NSRP1
RNF4	NSMCE2
RNF4	NSFL1C
RNF4	NRM
NPM1	RNF4
RNF4	NOTCH2
RNF4	NOP9
RNF4	NOP58
NOP2	RNF4
NOP14	RNF4
RNF4	NONO
RNF4	NOM1
RNF4	NOL11
RNF4	NOC3L
RNF4	NOC2L
RNF4	NNT
RNF4	NLK
RNF4	NIFK
RNF4	NFXL1
RNF4	NELFB
RNF4	NEDD8
NDUFS6	RNF4
NDUFB8	RNF4
NDUFB5	RNF4
NDUFB3	RNF4
RNF4	NDUFB11
RNF4	NDUFA9
RNF4	NDC1
RNF4	NCSTN
RNF4	NCOR2
NCL	RNF4
RNF4	NCKAP1
NCAPD3	RNF4
RNF4	NCAPD2
NCAM1	RNF4
RNF4	NAA35
RNF4	NAA25
RNF4	MYBBP1A
RNF4	MXRA8
RNF4	MTX1
RNF4	MTPAP
RNF4	MTDH
RNF4	MTCH2
RNF4	MTCH1
RNF4	MSMO1
RNF4	MRPL27
RNF4	MRC2
MPZL1	RNF4
MPDU1	RNF4
CHD4	ABCF1
ACTB	CHD4
ACTC1	CHD4
ADAR	CHD4
SLC25A5	CHD4
SLC25A6	CHD4
ANXA2	CHD4
CHD4	ZFHX3
ATP5F1A	CHD4
ATP5F1B	CHD4
ATP5F1C	CHD4
ATP5PO	CHD4
CANX	CHD4
CHD4	CDC5L
CHD4	DDX1
DDX3X	CHD4
DDX5	CHD4
DHX9	CHD4
DDX10	CHD4
DHX15	CHD4
CHD4	DMBT1
DSP	CHD4
EEF1A1	CHD4
EIF2S1	CHD4
EIF4G1	CHD4
EIF4G2	CHD4
ENO1	CHD4
EPRS1	CHD4
ERH	CHD4
FBL	CHD4
EWSR1	CHD4
FABP5	CHD4
FMR1	CHD4
FUS	CHD4
XRCC6	CHD4
GAPDH	CHD4
H1-0	CHD4
H1-2	CHD4
HNRNPA1	CHD4
HNRNPA2B1	CHD4
CHD4	HNRNPAB
HNRNPD	CHD4
HNRNPF	CHD4
HNRNPH1	CHD4
HNRNPH3	CHD4
HNRNPL	CHD4
HNRNPU	CHD4
HSPA5	CHD4
