# Graph Type: undirected
EWSR1	CCDC7
CREB3	MALL
UBE2I	RAD54B
RTN3	RAB33A
BRME1	COPS4
TP53RK	TPRKB
SSBP2	IL36RN
RUNDC3A	AP1M1
SERPINI2	UBQLN1
PLSCR1	CDC42EP1
LRCH4	MDFI
S100A1	NIF3L1
FAM107A	HOOK2
TULP2	MEOX2
EYA2	RBPMS
BRME1	BRME1
BAALC	MDFI
KDM8	PCYT2
ZC3H12A	AHSP
FUZ	CPLANE2
CALCOCO2	ZNF426
FAM160A2	REEP6
ZNF440	MDFI
SIGLEC5	TRIP13
LMO3	MDFI
ASPA	ASPA
KHDRBS3	KHDRBS2
FHL3	TRIP6
CCDC112	LURAP1
DVL3	ZNF408
MTUS2	C1orf216
DTNB	BEGAIN
ZBTB16	ENOX1
FAM107A	BEGAIN
PLSCR1	HEY2
EFEMP2	ZNF426
TAP1	MDFI
INTS11	MDFI
AKIRIN2	LNX1
LNX1	KXD1
MDFI	ZNF581
TBL3	APPBP2
EWSR1	NTNG2
RAP2B	RUNDC3A
MAPRE2	MAPRE3
PSMD4	RASSF8
NUDT18	HSD17B14
CNNM3	MDFI
CAVIN2	PLEKHF2
SYT17	TSC22D4
LASP1	MDFI
NMI	EMILIN1
TRAPPC6A	RAD54B
FHL3	RBM42
ZNF764	MDFI
TEAD3	WWTR1
RNF40	NCBP1
TRIM37	NUDT18
CALCOCO2	ZNF408
NUDT18	KCTD17
SGTA	SYT4
LNX1	DVL3
PAICS	NUDT18
SP100	SUMO1
CCNK	CDK18
PSMA1	KCTD17
TRIM29	MAD1L1
USP2	BEGAIN
LNX1	EHMT2
TMSB4Y	EWSR1
DUT	NUDT18
PRKAR1A	PYCARD
KCTD17	KCTD17
CCDC85B	FAM13C
KCTD17	TUBGCP4
YIPF4	YIPF3
AMOTL2	MAD1L1
CBFA2T2	MDFI
EWSR1	TRPV5
ZNF101	MDFI
APPBP2	PCSK5
RAD54B	RAD54B
MAP3K7CL	GPS2
FANCG	KRT19
MDFI	DNPEP
EWSR1	MDFI
PAICS	LNX1
