# Graph Type: undirected
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
RFXANK	NFKBIL1
PMVK	CENPH
RAB11A	RAB11FIP1
KRT85	TWF2
KRT31	TWF2
CNTF	ICA1
RPRM	FBXW11
GLRX3	RGS20
EPPK1	ARF6
RHOC	ARHGDIA
ZNRD2	DOK2
SNRPB	KHK
MAGEB2	RPL23A
KRT85	LYAR
SNCG	HNF4A
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
CDC25B	KRT31
EPPK1	TSC22D1
FABP4	OSTF1
PTP4A3	NCAPG
CD2BP2	USP39
GIPC1	GEMIN4
LUC7L	NFKBIL1
LRPPRC	TNFRSF10D
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
MAGEB2	RPS19
KPNA4	ARRB2
PSTPIP1	RPL32
SGK1	LTF
TGFB1I1	CCNA1
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
PSTPIP1	BZW1
DOK2	RAB10
PSTPIP1	RUVBL1
CNTF	EXT1
PNN	NFKBIL1
CDC25B	KRT35
RAB25	PKIG
RGS20	PMVK
KRT85	PLEKHB2
S100A9	TAGLN
MYH7	NTHL1
PFAS	VHL
BCAS1	DYNLL1
KRT31	STK38L
BAG2	MLF2
SPTLC1	RGS20
MEN1	RPRM
PSTPIP1	RPL31
ZNRD2	RUVBL2
LRRK1	RIMS1
MAGEB2	RPS14
DEGS1	PYGM
MAGEB2	RPS16
CTNNBIP1	PNMA2
LRRK1	C9orf163
KRT31	LYAR
DOK2	ASF1B
STK16	HNF4A
SNCG	FABP4
TPM3	MCC
LCN1	KHK
MRPS34	NFKBIL1
DEDD	KHK
KHK	LYZ
RPA3	PARP3
PKIG	KPTN
KRT31	PLEKHB2
NOL3	PNKP
ILK	FANCI
MRPL44	NFKBIL1
CHMP6	RAB17
RAD51D	RADIL
YWHAQ	RAI14
CHMP5	CAMK2A
GSN	CASP4
FBLN1	MPG
PSTPIP1	BZW2
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
UBAC1	MYH2
TIMM50	AKTIP
RHOC	VHL
ASF1B	CDIN1
RPL23A	PACSIN3
CNTF	VHL
SNCG	TIMP2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
IGF2BP3	PUF60
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
ATIC	RADIL
KRT31	BAK1
MTHFD2	PARP3
PTP4A3	POLD1
YWHAG	KRT31
DGKE	NUDC
NFKBIL1	MRPS18B
RGS20	BOLA1
FSCN1	GNAS
PFAS	TFE3
KCNIP4	KCNIP2
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
ELF3	KRT31
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
PSMC3	HTR1E
RAB25	KPTN
SNCG	DYNLL1
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
IGF2BP3	CNBP
RGS20	MLF2
NOL3	PACSIN3
BCAR3	TARS1
MYH10	TNFRSF10D
TRIP6	AFAP1L1
VHL	FSCN1
DGKE	SET
S100A9	PAK5
FAM107A	PPP2R2A
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
S100A7	PAK5
CCNA1	VPS18
PSTPIP1	RPL36
AP2S1	RAB25
CCNH	RADIL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
PTP4A3	MSH2
RGS20	SLC39A7
PSTPIP1	RPL35
CDK2	RADIL
HTR1E	PSMC4
PSTPIP1	RPL29
KHK	CDK5RAP3
RPA3	PAK5
LYZ	LRRK1
