# Graph Type: undirected
ZWINT	DSN1
RET	STAT3
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
TUSC2	HSPA4L
LGALS9	CTNNB1
ALDH16A1	PAAF1
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
ARPC2	ACTR3B
WDCP	RUVBL1
SMYD2	EPB41L3
ARPC1A	ACTR3B
YWHAG	EPB41L3
ARRB2	NOLC1
PPM1B	RASGRP1
YWHAG	OSBPL3
NELFCD	CCAR2
ARRB1	KHK
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
YWHAB	EPB41L3
ACTR2	ACTR3B
CCN4	UGGT1
SKP1	FBXO4
ARRB2	DDX27
CAMK2B	CAMK2A
CAMK2D	CAMK2A
AKTIP	HOOK1
PTP4A2	CNNM4
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
EPPK1	TRAF6
AP3B1	ARRB2
YWHAG	RABGEF1
RAB11A	RAB11FIP1
KRT85	TWF2
FNTB	PTP4A2
RPRM	FBXW11
EPPK1	ARF6
ARPC4	ACTR3B
SNRPB	KHK
ARPC1B	ACTR3B
YWHAZ	EPB41L3
KRT85	LYAR
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
HSPA4L	KRT8
EPPK1	TSC22D1
FABP4	OSTF1
CD2BP2	USP39
LRPPRC	TNFRSF10D
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
KPNA4	ARRB2
YWHAQ	EPB41L3
LGALS9	JUP
CASP4	SMC3
CCAR2	NEK6
HSPA4L	TCEAL1
RAB25	PKIG
KRT85	PLEKHB2
HNF1A	PCBD1
S100A9	TAGLN
PFAS	VHL
YWHAG	SHCBP1
BAG2	MLF2
MEN1	RPRM
ZNRD2	RUVBL2
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
TUSC2	EBLN2
HNF1A	PCBD2
STK16	HNF4A
PPM1B	VIL1
CDK4	ACTR3B
DFFA	DFFB
LCN1	KHK
DEDD	KHK
KHK	LYZ
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
ILK	FANCI
CHMP6	RAB17
YWHAQ	RAI14
CHMP5	CAMK2A
GSN	CASP4
ELF3	EHF
FBLN1	MPG
ARPC5L	ACTR3B
IQGAP2	UBAC1
ICA1	MKKS
CIAO1	CCAR2
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
FANCC	EBLN2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
MTHFD2	PARP3
PTP4A3	POLD1
DGKE	NUDC
PFAS	TFE3
KCNIP4	KCNIP2
H2BC21	PARP3
PUF60	IGF2BP2
AP1S1	EBLN2
ARPC3	ACTR3B
PTP4A3	SMC2
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
RAB25	KPTN
CASP4	SRPRB
S100A9	USF2
ARPC5	ACTR3B
BCAR3	TARS1
MYH10	TNFRSF10D
TRIP6	AFAP1L1
NUAK1	KRT77
DGKE	SET
FAM107A	PPP2R2A
CCAR2	WRAP73
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
TWF2	ACTR3B
AP2S1	RAB25
RASGRP1	VHL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
PTP4A3	MSH2
YWHAQ	RASGRP3
KHK	CDK5RAP3
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
CCAR2	GSTK1
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
HSPA4L	USF2
CASP4	SMC1A
NUAK1	S100A9
CIAO1	MCM5
PELO	FANCI
YWHAZ	RAI14
YWHAZ	RALGPS2
CCAR2	MAGED1
PES1	ARRB2
EBLN2	WRAP73
EIF6	RRP15
HNF4A	PABPC4
CCAR2	ACTR3B
CEP162	LXN
CDK2	CASP4
FBL	PASK
YWHAB	OSBPL3
ARRB2	RPL7L1
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
YWHAG	BAIAP2
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
BCAR3	PABPC1
S100A9	ILK
ITFG2	KPTN
SMC2	CASP4
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
TRIM28	TNFRSF10D
WDR5	PASK
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
MATR3	GSTK1
NTHL1	MRM3
YWHAB	CGN
CASP4	MSH6
PSPH	PRPSAP1
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
KHK	RANBP3
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
HNF1A	RHPN2
YWHAB	RABGEF1
PTP4A3	GTF2I
YWHAG	CGN
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MAP3K8	REL
USP2	NFKB2
RELA	IQGAP2
TBKBP1	TBK1
TNF	TNFRSF1B
KCNQ1	TRAF6
POLQ	AP2S1
BRF2	FANCI
UFL1	CASP4
CASP4	VDAC3
DLG3	CAMK2A
KRT85	DLG3
S100A3	DLG3
FABP4	EXT2
HNF4A	EXT2
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
MYC	CCAR2
LXN	PANK2
AR	HNF4A
GCGR	BMPR2
AR	AKT1
AR	IL6ST
AR	RAD9A
AR	SMAD3
AR	NCOA6
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
SRC	TRIP6
MUC1	APC
BCL2	BAX
AR	CTNNB1
BAX	BCL2L1
MYC	NMI
MSH2	BLM
CDH1	HDAC1
CDH1	HDAC2
FANCA	FANCF
FANCC	FANCF
FANCG	FANCF
AR	CCNH
AR	CDK7
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
AR	AR
CDH1	SRC
SRC	PIK3R1
SMAD6	CTBP1
AR	DAXX
MUC1	CTNNB1
AR	STAT3
SRC	ESR2
BCL3	NFKB2
BCL3	RELB
SP1	AR
RBM39	ESR2
CDH1	VCL
SRC	BCAR1
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	FASLG
TNFRSF1A	CASP8
CDH1	ITGAE
TFAP2A	APC
AR	GSK3B
MUC1	GSK3B
GSN	AR
SMAD7	BMPR1A
LYN	MUC1
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
AR	SELENBP1
HSP90AA1	AR
AR	UXT
AR	CAV1
JUN	AR
CDH1	CSE1L
AR	PRKDC
AR	XRCC5
AR	XRCC6
AR	BAG1
APC	MAPRE2
AR	CREBBP
E2F1	NCOA6
AR	NCOA1
NCOR1	AR
AR	NCOR2
AR	NCOA2
AR	CCND1
HDAC3	CCND1
AR	FOXO1
MDC1	HDAC8
AR	RNF14
ERBB2	MUC1
MYC	MAPK3
MYC	MAPK1
CCNT1	NUFIP1
CDK9	NUFIP1
CRKL	BCAR1
CRK	BCAR1
LCK	PIK3R1
MYC	BCL2
ABL1	BCAR1
VDAC1	BAX
CDH1	GNA13
ESR1	SRC
AR	SRC
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	CGN
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	NEDD4L
SFN	OSBPL3
SFN	PKP2
PPP1R3D	SFN
SFN	RALGPS2
SFN	RHPN2
SFN	SHCBP1
SFN	SHROOM3
SIPA1L1	SFN
WEE1	SFN
FANCA	FANCC
JUP	MUC1
AR	PTEN
BCL3	N4BP2
AXIN1	APC
RB1	AR
BMP2	BMPR1A
CDH1	CDH1
AR	ZMIZ1
ATM	EIF4EBP1
LIG4	ATR
LIG4	PRKDC
LIG4	ATM
PIK3CA	ATR
POLD1	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
CDH2	GNA12
CDH2	GNA13
BMPR1B	BMPR2
BMP7	BMPR2
TGFB1I1	AR
AR	MAPK1
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
TP53	TFAP2C
EGFR	AR
AR	GSK3A
KAT7	AR
AR	NR2C1
MSH2	ATM
FANCA	ATP5F1B
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
GADD45G	CDKN1A
GADD45G	GADD45A
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
NR4A1	GADD45GIP1
POLR2A	CTDP1
SIAH2	RBBP8
FANCG	CYP2E1
SPTBN1	EPB41L3
FANCA	DAXX
TP53BP1	DCLRE1A
E2F1	TOPBP1
FANCA	LIPG
GADD45G	ESR1
FANCA	FANCA
FANCA	ERCC4
BMPR1A	FKBP1B
FANCA	GNB2
AR	GRIP1
FANCA	HSP90B1
FANCA	HPRT1
FANCA	DNAJB1
FANCA	HSP90AA1
CHUK	FANCA
FANCA	KRT1
KRT1	FANCC
SMAD7	LEF1
MLH1	MSH2
SRC	PELP1
FANCA	MKNK1
NBN	MSH2
MSH2	RAD50
MSH2	MSH6
FANCA	MX1
FANCA	NUB1
FANCA	NAMPT
AR	PELP1
FANCA	FANCL
FANCA	DUS4L
GADD45G	PPARA
GADD45G	PPARD
FANCA	PRPF31
FANCA	PSMA5
GADD45G	RARA
RARA	GADD45A
RFC1	MSH2
IFIT3	FANCA
FANCA	RPA1
FANCA	RPL18
GADD45G	RXRA
SGK1	FANCA
SRC	NCOA6
FANCA	TAF10
TBP	GTF2H4
CTNNB1	HNF4A
FANCA	CCT3
GTF2B	GTF2H4
POLR2A	GTF2H4
MED21	GTF2H4
BTAF1	GTF2H4
GTF2E1	GTF2H4
GTF2F1	GTF2H4
FANCA	TOP3A
FANCA	TPT1
ZNF350	RNF11
FANCA	ZNF24
MAP3K8	TNIP2
ABLIM3	ACTC1
USP8	RNF41
RNF41	BIRC6
HDAC3	RUNX2
RET	DOK6
RET	DOK5
CASP9	NAIP
NAIP	DIABLO
ITGB1	ITGA3
DNM1	FNBP1
EGF	FNBP1
SELL	EMCN
TGFB1	VASN
TGFB2	VASN
ERCC3	GTF2H4
ERCC3	MNAT1
PIK3CA	RASGRP3
PRKCB	RASGRP3
PRKCD	RASGRP3
PRKCE	RASGRP3
PRKACA	RASGRP3
PLXNA1	PLXNA1
MED6	MED10
MED6	MED9
MED6	MED29
MED19	MED6
MED6	MED28
MED6	MED26
SMC4	DNMT3B
SMC2	DNMT3B
SIN3A	DNMT3B
HDAC1	DNMT3B
SMARCA5	DNMT3B
RAC1	ARHGAP27
CDC42	ARHGAP27
ARHGAP27	SH3KBP1
PRKACA	GAD1
PRKCE	GAD1
YBX1	ANKRD2
PML	ANKRD2
TP53	ANKRD2
SORBS2	CBL
SORBS2	PTK2B
CBL	CD2AP
FLOT1	SORBS2
ITGA7	FHL2
MYD88	TLR9
PPP1CA	PHACTR1
NOS1	ZDHHC23
SLC5A1	PAWR
CRADD	PIDD1
CASP2	PIDD1
RHOA	ARHGEF25
RIPK1	TICAM1
DNTTIP2	ESR2
TNFRSF10B	TIMM50
AR	SART3
BMP2	SOSTDC1
BMP4	SOSTDC1
BMP7	SOSTDC1
ULK1	SYNGAP1
ULK2	SYNGAP1
MED6	MED25
MED6	MED15
MED6	CDK8
KDR	PLXNA1
LIN7A	DLG1
APBA1	DLG1
LIN7A	CASK
CASK	LIN7B
APBA1	LIN7B
APBA1	LIN7C
NFKB1	UNC5CL
RELA	UNC5CL
KNG1	PLAUR
SCN1B	CNTN1
CD4	UNC119
LCK	UNC119
FYN	UNC119
DNMT3B	DNMT3A
CA2	SLC4A8
PAFAH1B3	HSPH1
NR1H4	PPARGC1A
HRAS	PIK3CA
SLC31A2	RAMP2
RAMP1	CALCRL
PIAS1	STAB2
FOXP2	CTBP1
FOXP2	FOXP1
FOXP2	FOXP2
FOXP2	FOXP4
SIM2	ARNT2
PRKCZ	FEZ2
TUBA1A	STARD13
KIF1B	STARD13
HMGCR	STARD13
EPB41L1	STARD13
SMARCD3	STARD13
TAX1BP1	STARD13
HSP90AA1	STARD13
ITPR1	STARD13
ADGRB2	STARD13
ITPR1	CABP1
CAV1	AQP3
PLD2	AQP3
DMAP1	ING1
RNF128	OTUB1
USP8	RNF128
MSH3	MSH2
MSH2	ATR
SMAD6	RNF111
SP100	HIPK2
NUP155	GLE1
KAT2B	NPAS2
AKAP8	CCND1
PHB	E2F1
HAND1	PPP2R5D
HAND1	PRKCA
HAND1	PRKACA
MED1	PPARGC1A
PPARGC1A	MED16
MED17	PPARGC1A
MED21	PPARGC1A
MED12	PPARGC1A
MED14	PPARGC1A
MED20	PPARGC1A
CDH2	CTNNA1
CDH2	CTNNB1
JUP	CDH2
CDH2	CDH11
PPL	EZR
PARP1	ZNF423
TRPC1	GRM1
CRY2	TIMELESS
NCS1	PI4KB
CTNNB1	AJAP1
CDH1	AJAP1
MAP2	MARK4
E2F1	NSMCE3
RAB27A	RPH3AL
LCK	PIK3CA
LCK	NOTCH1
PIK3CA	NOTCH1
RARA	NRIP1
RARA	KAT2B
ERBB3	CD82
CACNA1A	CABP1
CDH1	CA9
NOTCH1	CNTN1
NOTCH2	CNTN1
ABI1	EPS8L1
ABI1	EPS8L2
SOS1	EPS8L1
SOS1	EPS8L2
ACTG1	EPS8L1
ACTG1	EPS8L2
WNK4	STK39
UBE2I	PDZK1
SLC9A3R2	PDZK1
FARP2	PDZK1
PDZK1	SLK
SLC9A3R1	PDZK1
HOMER1	AGAP2
LRP2	LDLRAP1
ANXA2	CEACAM1
EIF3A	EIF3C
EIF3C	EIF3K
MAP7	TRPV4
DNM1	DNMBP
DNMBP	WASF1
TRPC1	HOMER1
TRPC1	HOMER3
