# Graph Type: undirected
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
PSTPIP1	FDFT1
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
ALDH16A1	PAAF1
PSTPIP1	RPL3
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
WDCP	RUVBL1
PSTPIP1	ATIC
DOK2	PSMD10
ARRB2	NOLC1
PPM1B	RASGRP1
YWHAG	OSBPL3
DKK1	CORO1A
ARRB1	KHK
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
PAK4	LRRK1
CCN4	UGGT1
SKP1	FBXO4
ARRB2	DDX27
AKTIP	HOOK1
PTP4A2	CNNM4
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
YWHAG	RABGEF1
RAB11A	RAB11FIP1
KRT85	TWF2
FNTB	PTP4A2
RPRM	FBXW11
EPPK1	ARF6
YWHAG	MARK2
ZNRD2	DOK2
SNRPB	KHK
NUP93	PHLDA3
KRT85	LYAR
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
EPPK1	TSC22D1
FABP4	OSTF1
CD2BP2	USP39
GIPC1	GEMIN4
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
KPNA4	ARRB2
PSTPIP1	RPL32
SGK1	LTF
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
PSTPIP1	BZW1
DOK2	RAB10
PSTPIP1	RUVBL1
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
BRIX1	LYAR
S100A9	TAGLN
PFAS	VHL
MEN1	RPRM
PSTPIP1	RPL31
ZNRD2	RUVBL2
GIPC1	NUP93
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
LRRK1	C9orf163
TUSC2	EBLN2
ARRB2	BOP1
HNF1A	PCBD2
DOK2	ASF1B
SNCG	FABP4
DFFA	DFFB
DEDD	KHK
KHK	LYZ
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
ILK	FANCI
YWHAQ	RAI14
GSN	CASP4
ELF3	EHF
PSTPIP1	BZW2
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
YWHAQ	MARK2
FANCC	EBLN2
SNCG	TIMP2
TUSC2	SGO2
ARRB2	ARRB1
CASP4	DNAAF5
PES1	ARRB1
S100A9	ASB3
MTHFD2	PARP3
PTP4A3	POLD1
DGKE	NUDC
FSCN1	GNAS
PFAS	TFE3
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AURKA	RAB10
AP1S1	EBLN2
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
PSMC3	HTR1E
SNCG	DYNLL1
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
CASP4	NUP93
BCAR3	TARS1
NUP93	PNKP
TRIP6	AFAP1L1
VHL	FSCN1
DGKE	SET
MAD2L1	DSTYK
